,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
105,61.4199999968,0.21933333079,0.190530506658,0.998392544803,0.8,0,1,9,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",141,0.154453541904,0.998420278352,0.235766834752,0.998371452742,0.18137558356,0.998385903315,1.48607832727,0.0044968752439,0.0338216143157,2.04787216743e-05
106,61.7263333797,0.235666672389,0.247235555025,0.999493995316,0.8,0,1,9,0.8,"{'subsample': 0.8, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",100,0.213405704153,0.999385140664,0.327579741666,0.999470309616,0.20072538293,0.999626535667,0.499886920314,0.0109645316578,0.0570455478416,9.99621466844e-05
107,56.7000000477,0.219666639964,0.355941985238,0.999763333275,0.8,0,1,9,0.9,"{'subsample': 0.9, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",84,0.383901582427,0.999749775177,0.406404469536,0.999736981979,0.277516462569,0.99980324267,1.17436475278,0.00368181515329,0.0562093448814,2.86994345139e-05
108,31.2373333772,0.150666554769,0.661055812601,0.841917144382,0.8,0,0.1,5,0.7,"{'subsample': 0.7, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",52,0.680671263128,0.843295067059,0.672499197836,0.835216649922,0.62999456263,0.847239716166,0.030379094201,0.00329988951118,0.0222148961429,0.00500416717368
109,30.4936667283,0.152666568756,0.662454981692,0.843897779613,0.8,0,0.1,5,0.8,"{'subsample': 0.8, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",43,0.673683341627,0.84424795148,0.676044483841,0.837393229626,0.637635737657,0.850052157732,0.165459596333,0.00286742793488,0.0175757693775,0.00517391408567
110,30.1026666959,0.154333353043,0.665297475538,0.846018853968,0.8,0,0.1,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",19,0.678063297537,0.848104968534,0.680019749912,0.839812974262,0.637807807988,0.850138619109,0.195643016394,0.00368190868993,0.019453935971,0.00446606768612
111,38.2103332678,0.168999989827,0.665981065972,0.880677324052,0.8,0,0.1,6,0.7,"{'subsample': 0.7, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",15,0.684476642805,0.883907049674,0.678731451396,0.874238412115,0.634732827336,0.883886510365,0.327994262748,0.00141422345283,0.0222193042858,0.00455300601502
112,37.4910000165,0.164333343506,0.66551435758,0.883252090839,0.8,0,0.1,6,0.8,"{'subsample': 0.8, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",17,0.678565943292,0.884149671619,0.688091657519,0.878662180675,0.629883865579,0.886944420221,0.690353975188,0.00205484912008,0.0254921641962,0.00344026272422
113,35.4776666959,0.161000013351,0.665604169943,0.885470002115,0.8,0,0.1,6,0.9,"{'subsample': 0.9, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",16,0.687993924048,0.886023772091,0.671357116417,0.882315171959,0.6374587137,0.888071062295,0.387248721505,0.00711804984581,0.021028325851,0.00238223484448
114,41.4823333422,0.168666601181,0.664153401367,0.913617242267,0.8,0,0.1,7,0.7,"{'subsample': 0.7, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",28,0.692498252802,0.915884374607,0.662636366249,0.90778743904,0.637322096454,0.917179913154,0.113361721407,0.00124712873142,0.0225513282181,0.00415608463837
115,40.529333353,0.174666722616,0.664069758827,0.915729196769,0.8,0,0.1,7,0.8,"{'subsample': 0.8, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",29,0.679593041739,0.916917637343,0.673810145732,0.911571476761,0.638804178453,0.918698476202,0.277231867171,0.0130213664605,0.0180202357786,0.00302851157154
116,42.7349998951,0.190666675568,0.666054187868,0.918644869018,0.8,0,0.1,7,0.9,"{'subsample': 0.9, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",13,0.689107925994,0.92217752024,0.669472899843,0.912431604418,0.639578900384,0.921325482398,0.684487109899,0.0186607066133,0.020364328715,0.00440718994898
117,58.1180000305,0.207333246867,0.664514466946,0.95796480757,0.8,0,0.1,9,0.7,"{'subsample': 0.7, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",24,0.687702150994,0.95998355537,0.666111220346,0.954788536602,0.639727175629,0.959122330739,1.01041609732,0.0102739619714,0.0196184176073,0.00227331621406
118,56.8230000337,0.206333239873,0.661349830222,0.963583380771,0.8,0,0.1,9,0.8,"{'subsample': 0.8, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",50,0.675971196751,0.966847487317,0.6759449133,0.958615508359,0.632131581062,0.965287146638,0.534176595911,0.00262459008103,0.020659789226,0.00357010578621
119,54.8833332856,0.19966673851,0.660016581022,0.965615107723,0.8,0,0.1,9,0.9,"{'subsample': 0.9, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",57,0.679753327193,0.968231849424,0.665137046949,0.961096048297,0.635156939787,0.967517425449,0.687373047416,0.00579268002553,0.018563096145,0.00320874056071
120,31.9730000496,0.153999884923,0.655707796271,0.802814356661,0.8,0,0.05,5,0.7,"{'subsample': 0.7, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",66,0.670673352048,0.80516830205,0.670143772586,0.791013365385,0.626304422265,0.812261402548,0.350309476088,0.00927357194447,0.0207918095573,0.00883272570223
121,31.3870000045,0.162000020345,0.654123684218,0.805083445042,0.8,0,0.05,5,0.8,"{'subsample': 0.8, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",70,0.669678048016,0.807905271612,0.66270334795,0.792295221149,0.629987742306,0.815049842365,0.19343910175,0.0157692146765,0.0173020758615,0.0095014113185
122,30.2263333003,0.156999985377,0.653499649899,0.805922139289,0.8,0,0.05,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",71,0.673652175349,0.80720510006,0.664243970458,0.79488068334,0.622600323578,0.815680634466,0.0339935089349,0.00804156884129,0.0221834960489,0.00853986662529
123,38.1673332055,0.166333436966,0.661277657458,0.840431588654,0.8,0,0.05,6,0.7,"{'subsample': 0.7, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",51,0.680562130085,0.844167010996,0.665900268325,0.831316117906,0.637368200492,0.845811637061,0.537927699834,0.00329978514765,0.0179343964917,0.00648048629597
