,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_depth,param_max_features,param_min_impurity_split,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
26,6.98660001755,0.0565999984741,0.656285564836,0.753882824459,0.1,6,sqrt,1e-07,81,402,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 402, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",15,0.649187340723,0.754723431099,0.699940042276,0.743783941315,0.663005744529,0.749507725787,0.60025564288,0.769771344039,0.669042044038,0.751627680055,0.0740530187802,0.00300678074701,0.0325685413079,0.00871052557978
27,6.76379995346,0.0550001144409,0.653127601816,0.739678423303,0.1,6,sqrt,1e-07,81,602,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 602, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",20,0.647878099897,0.738472248403,0.690735268439,0.728455798141,0.667479066417,0.738994981645,0.593955103557,0.752808412741,0.665593392895,0.739660675585,0.104671670164,0.00167336975169,0.0325725380342,0.00774940260336
28,6.59439997673,0.0585999965668,0.648993203006,0.731147051406,0.1,6,sqrt,1e-07,81,802,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 802, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",29,0.638201225573,0.731038760768,0.683063576071,0.721233808463,0.661490408809,0.726257334357,0.594191826595,0.746009699146,0.66802343889,0.731195654297,0.078858412964,0.000799977784274,0.0309803746823,0.00828364781275
29,6.47740001678,0.0548000335693,0.648005549909,0.723726040409,0.1,6,sqrt,1e-07,81,1002,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 1002, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",32,0.637652679022,0.72534288858,0.688399316021,0.71619916908,0.660819833398,0.720007491354,0.595070094379,0.737298320581,0.658088190213,0.719782332451,0.0501302387512,0.000748264500812,0.0310066694812,0.00738722165095
30,7.40139989853,0.0592000961304,0.662817163389,0.770895795173,0.1,6,sqrt,1e-07,101,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",6,0.657787528641,0.774541913791,0.703370687296,0.757401209059,0.672195342985,0.767107512347,0.600901212855,0.784363578834,0.679835034352,0.771064761834,0.0701558317255,0.0037094947657,0.0342964618604,0.00884487273634
31,7.42979998589,0.0593999862671,0.662817163389,0.770895795173,0.1,6,sqrt,1e-07,101,202,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 202, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",6,0.657787528641,0.774541913791,0.703370687296,0.757401209059,0.672195342985,0.767107512347,0.600901212855,0.784363578834,0.679835034352,0.771064761834,0.0882754762389,0.00185471781848,0.0342964618604,0.00884487273634
32,6.96139993668,0.0588000297546,0.655963964375,0.749102556762,0.1,6,sqrt,1e-07,101,402,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 402, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",17,0.650804538648,0.749647259641,0.69459689923,0.738831293671,0.665769471511,0.742155532552,0.59820554721,0.765565472769,0.670446760212,0.749313225175,0.0591764168935,0.00444522177773,0.0321286483732,0.00922094004651
33,6.67699995041,0.053600025177,0.648724690706,0.73315949162,0.1,6,sqrt,1e-07,101,602,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 602, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",31,0.644980070036,0.740922897539,0.680320889027,0.713764997268,0.669061368558,0.733134380516,0.58832364421,0.747142342808,0.66094034519,0.73083283997,0.101689766356,0.00135646611057,0.0323222553288,0.0112902696908
34,6.51660003662,0.0542000293732,0.645611835339,0.72424714901,0.1,6,sqrt,1e-07,101,802,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 802, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",33,0.640288873305,0.726251713669,0.679045577261,0.708312441865,0.656180081907,0.719639784066,0.59335229825,0.743631572654,0.659195530149,0.723400232797,0.0437886198928,0.00116620398837,0.0288914009844,0.0114510622221
35,6.40340008736,0.0553999900818,0.644202930396,0.718047740063,0.1,6,sqrt,1e-07,101,1002,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 1002, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",34,0.634489834485,0.71648804508,0.679780318997,0.705953616344,0.658760619274,0.715944369044,0.585240298754,0.731007118923,0.662747927634,0.720845550925,0.0651416880378,0.00185472810392,0.0328411393663,0.00811046105542
